id,tags,tags_transl,user,userId,title,description,type,page,bookmark,bookmarked,likeCount,viewCount,commentCount,width,height,xRestrict,AI,date,original,thumb,fileName
102652444,"お品書き,ぺぽよ,ボーマス,ボーマス49","お品書き,ぺぽよ,ボーマス,ボーマス49",ぺぽよ,6592374,ボーマス49おしながき！,E39、40にいます　よろしくお願いしますーー,Illustration,1,331,No,263,7341,2,2481,3508,AllAges,No,2022-11-09T13:26:00+00:00,https://i.pximg.net/img-original/img/2022/11/09/22/26/21/102652444_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/11/09/22/26/21/102652444_p0_square1200.jpg,ぺぽよ/Illustration/102652444_p0.png
102652337,"オリジナル,ぺぽよ,ぽよろいど","原创,ぺぽよ,ぽよろいど",ぺぽよ,6592374,カラオケ歌えるよのおしらせ,よーろーしーくー,Illustration,1,448,No,329,10696,4,1379,856,AllAges,No,2022-11-09T13:22:00+00:00,https://i.pximg.net/img-original/img/2022/11/09/22/22/48/102652337_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/11/09/22/22/48/102652337_p0_square1200.jpg,ぺぽよ/Illustration/102652337_p0.png
102620380,"オリジナル,ぺぽよ","原创,ぺぽよ",ぺぽよ,6592374,あかいろうしろ,"投稿していました<br><br>YouTube<br><a href=""/jump.php?https%3A%2F%2Fyoutu.be%2FBcDw8aJbO2M"" target=""_blank"">https://youtu.be/BcDw8aJbO2M</a><br><br>ニコニコ<br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm41165422"" target=""_blank"">https://www.nicovideo.jp/watch/sm41165422</a>",Illustration,1,668,No,475,7867,1,1280,720,AllAges,No,2022-11-08T09:08:00+00:00,https://i.pximg.net/img-original/img/2022/11/08/18/08/21/102620380_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/11/08/18/08/21/102620380_p0_square1200.jpg,ぺぽよ/Illustration/102620380_p0.png
102620286,"オリジナル,ぺぽよ","原创,ぺぽよ",ぺぽよ,6592374,パラポネピネラ,"投稿してました<br>YouTube<br><a href=""/jump.php?https%3A%2F%2Fyoutu.be%2FrCeQF-0NjVE"" target=""_blank"">https://youtu.be/rCeQF-0NjVE</a><br><br>ニコニコ<br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm41199224"" target=""_blank"">https://www.nicovideo.jp/watch/sm41199224</a>",Illustration,1,382,Yes,270,5182,3,1280,720,AllAges,No,2022-11-08T09:04:00+00:00,https://i.pximg.net/img-original/img/2022/11/08/18/04/09/102620286_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/11/08/18/04/09/102620286_p0_square1200.jpg,ぺぽよ/Illustration/102620286_p0.jpg
102430348,"オリジナル,ぺぽよ,ぽよろいど,ヴィレッジヴァンガード","原创,ぺぽよ,ぽよろいど,ヴィレッジヴァンガード",ぺぽよ,6592374,ぺぽよ×ヴィレッジヴァンガードコラボします,"【お知らせ】<br><br>ヴィレッジヴァンガードさんとコラボすることになりました！<br>受注期間は11/1日〜11/20日23:59です！<br><br>ここでしか買えない限定グッズが色々あります、ぽよろいどがいっぱいです<br>よろしくお願いします❣️<br><br>💗コラボ詳細<br><a href=""/jump.php?https%3A%2F%2Fwww.village-v.co.jp%2Fnews%2Fitem%2F14527"" target=""_blank"">https://www.village-v.co.jp/news/item/14527</a><br><br>💙受注ページ<br><a href=""/jump.php?https%3A%2F%2Fvvstore.jp%2Ffeature%2Fdetail%2F18749%2F"" target=""_blank"">https://vvstore.jp/feature/detail/18749/</a>",Illustration,4,352,No,254,6440,12,1024,1024,AllAges,No,2022-11-01T11:33:00+00:00,https://i.pximg.net/img-original/img/2022/11/01/20/33/58/102430348_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/11/01/20/33/58/102430348_p0_square1200.jpg,ぺぽよ/Illustration/102430348/102430348_p0.jpg
102088035,"ぺぽよ,オリジナル,TDM,VOCALOIDオリジナル曲,VOCALOID1000users入り","ぺぽよ,原创,TDM,VOCALOIDオリジナル曲,VOCALOID 1000收藏",ぺぽよ,6592374,のろいのノイローゼ,"<a href=""/jump.php?https%3A%2F%2Fyoutu.be%2FlRi2xK_Bb_M"" target=""_blank"">https://youtu.be/lRi2xK_Bb_M</a><br><br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm41165453"" target=""_blank"">https://www.nicovideo.jp/watch/sm41165453</a><br><br>投稿してまーーした<br>ボカコレ70位ありがとうございます‼️",Illustration,3,1674,No,1286,24309,14,1280,720,AllAges,Unknown,2022-10-20T08:42:00+00:00,https://i.pximg.net/img-original/img/2022/10/20/17/42/31/102088035_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/10/20/17/42/31/102088035_p0_square1200.jpg,ぺぽよ/Illustration/102088035/102088035_p0.jpg
102080542,OLとアザトース,OLとアザトース,ぺぽよ,6592374,OLとアザトース,"【告知】<br>「OLとアザトース」の主題歌、<br>「我が家に来たり夢見る魔皇」<br>作詞作曲を担当しました！✨<br>10/22（土）にライブ公開＋プレミア公開があるのでぜひ来てください‼️<br>イラストはファンアートです<br><br>N→ <a href=""/jump.php?https%3A%2F%2Flive.nicovideo.jp%2Fwatch%2Flv338912299"" target=""_blank"">https://live.nicovideo.jp/watch/lv338912299</a><br>0:00からライブ公開<br>Y→ <a href=""/jump.php?https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D3V_nrQ5U_Lg"" target=""_blank"">https://www.youtube.com/watch?v=3V_nrQ5U_Lg</a><br>20:00からプレミア公開<br><br>「OLとアザトース」原作はこちら↓<br><a href=""https://www.pixiv.net/user/14282863/series/34378"" target=""_blank"">https://www.pixiv.net/user/14282863/series/34378</a>",Illustration,1,427,No,324,9673,5,1108,943,AllAges,Unknown,2022-10-19T22:56:00+00:00,https://i.pximg.net/img-original/img/2022/10/20/07/56/47/102080542_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/10/20/07/56/47/102080542_p0_square1200.jpg,ぺぽよ/Illustration/102080542_p0.png
101231370,"ぺぽよ,ぽよぺっぷ!,オリジナル,あなたが神か","ぺぽよ,ぽよぺっぷ!,原创,您就是神吗",ぺぽよ,6592374,またまた曲が歌えるよ,よろしくお願いします,Illustration,1,557,Yes,404,9738,14,2000,2000,AllAges,Unknown,2022-09-14T15:36:00+00:00,https://i.pximg.net/img-original/img/2022/09/15/00/36/19/101231370_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/09/15/00/36/19/101231370_p0_square1200.jpg,ぺぽよ/Illustration/101231370_p0.png
101075875,"ぺぽよ,オリジナル,よっしゃおらああああああああああああああああああああああああ,めんへらーめんｷﾀ━(ﾟ∀ﾟ)━!,ついに来た,ありがとぉぉぉぉぉぉぉぉぉぉ!!","ぺぽよ,原创,よっしゃおらああああああああああああああああああああああああ,めんへらーめんｷﾀ━(ﾟ∀ﾟ)━!,ついに来た,ありがとぉぉぉぉぉぉぉぉぉぉ!!",ぺぽよ,6592374,曲が色々歌えるよ,「めんへらーめん」<br>「×はんでぃ♡きゃっぱー×」<br>「あめだま」<br>「紙避行記」<br>「失態生態実験体」<br><br>JOYSOUNDでカラオケが歌えるようになります！🎤🎶<br>9月23日からです、よろしくお願いします！,Illustration,1,867,No,625,13884,25,1695,1176,AllAges,Unknown,2022-09-07T22:45:00+00:00,https://i.pximg.net/img-original/img/2022/09/08/07/45/39/101075875_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/09/08/07/45/39/101075875_p0_square1200.jpg,ぺぽよ/Illustration/101075875_p0.png
100641004,"オリジナル,ぺぽよ,らくらく安楽死,VOCALOIDオリジナル曲","原创,ぺぽよ,らくらく安楽死,VOCALOIDオリジナル曲",ぺぽよ,6592374,らくらく安楽死DAMで歌えるよ,9/15日から歌えるよーという絵です宣伝<br>2枚目からは擬人化です,Illustration,3,1138,No,886,17046,5,1089,736,AllAges,Unknown,2022-08-20T15:45:00+00:00,https://i.pximg.net/img-original/img/2022/08/21/00/45/24/100641004_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/08/21/00/45/24/100641004_p0_square1200.jpg,ぺぽよ/Illustration/100641004/100641004_p0.png
99881068,"オリジナル,ぽよぺっぷ!,ぽよろいど,ぺぽよ,TDM,オリキャラ,救済ちゃん","原创,ぽよぺっぷ!,ぽよろいど,ぺぽよ,TDM,原创角色,救済ちゃん",ぺぽよ,6592374,ぽよろいどまとめ,"その名の通りです<br>R15程度の性的・グロ表現　擬人化も含みます　苦手な方はすみません<br><br>＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝<br>☆ぺぽよTwitter <br><strong><a href=""https://twitter.com/pepoyoPPY"" target=""_blank"">twitter/pepoyoPPY</a></strong><br><br>⭐︎ぽよろいどTwitter<br><strong><a href=""https://twitter.com/POYOROID"" target=""_blank"">twitter/POYOROID</a></strong><br><br>☆ぽよぺっぷ！HP<br><a href=""/jump.php?https%3A%2F%2Fpoyopep.com"" target=""_blank"">https://poyopep.com</a><br><br>☆YouTube<br><a href=""/jump.php?https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCj8niwjSPcK558OqNisRKFg"" target=""_blank"">https://www.youtube.com/channel/UCj8niwjSPcK558OqNisRKFg</a><br><br>☆ニコニコ動画<br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fuser%2F55950290"" target=""_blank"">https://www.nicovideo.jp/user/55950290</a><br><br>☆TikTok<br><a href=""/jump.php?https%3A%2F%2Fwww.tiktok.com%2F%40pepoyoppy%3F"" target=""_blank"">https://www.tiktok.com/@pepoyoppy?</a><br><br>☆その他リンクまとめ<br><a href=""/jump.php?https%3A%2F%2Flit.link%2Fpepoyo"" target=""_blank"">https://lit.link/pepoyo</a><br><br>☆お仕事のご連絡など<br>pepoyoppy@gmail.com",Illustration,60,1639,No,1290,27466,24,1449,917,AllAges,Unknown,2022-07-21T02:49:00+00:00,https://i.pximg.net/img-original/img/2022/07/21/11/49/17/99881068_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/07/21/11/49/17/99881068_p0_square1200.jpg,ぺぽよ/Illustration/99881068/99881068_p0.jpg
99854052,"オリジナル,ぽよぺっぷ!,TDM,オリキャラ,人外","原创,ぽよぺっぷ!,TDM,原创角色,非人类",ぺぽよ,6592374,【CD】電ぐりがえ死,"こちらで販売します！　告知遅くてすみません･･･<br><a href=""https://pepoyo.booth.pm/items/3981171"" target=""_blank"">https://pepoyo.booth.pm/items/3981171</a><br><br>クロスフェードはこちら<br><a href=""/jump.php?https%3A%2F%2Fyoutu.be%2FIyE3-NobQ8k"" target=""_blank"">https://youtu.be/IyE3-NobQ8k</a>",Illustration,5,635,No,446,15741,1,3000,3000,AllAges,Unknown,2022-07-19T18:10:00+00:00,https://i.pximg.net/img-original/img/2022/07/20/03/10/01/99854052_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/07/20/03/10/01/99854052_p0_square1200.jpg,ぺぽよ/Illustration/99854052/99854052_p0.jpg
99848196,"お品書き,オリジナル,オリキャラ,ぺぽよ,ぽよぺっぷ!","お品書き,原创,原创角色,ぺぽよ,ぽよぺっぷ!",ぺぽよ,6592374,CDとかの通販お知らせ,"<a href=""https://pepoyo.booth.pm/"" target=""_blank"">https://pepoyo.booth.pm/</a><br><br>8/14日20:00〜からです。よろしくお願いします",Illustration,1,402,No,291,9600,4,1492,1982,AllAges,Unknown,2022-07-19T13:52:00+00:00,https://i.pximg.net/img-original/img/2022/07/19/22/52/59/99848196_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/07/19/22/52/59/99848196_p0_square1200.jpg,ぺぽよ/Illustration/99848196_p0.png
99848126,"オリジナル,ぽよぺっぷ!,ぺぽよ,オリキャラ,TDM,ぽよろいど,UTAU","原创,ぽよぺっぷ!,ぺぽよ,原创角色,TDM,ぽよろいど,UTAU",ぺぽよ,6592374,ぽよろいど【UTAU音源配布】,"こちらもよかったらどうぞ！無料です<br><br><a href=""https://pepoyo.booth.pm/items/3982280"" target=""_blank"">https://pepoyo.booth.pm/items/3982280</a><br><br>＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝<br>☆ぺぽよTwitter <br>twitter/pepoyoPPY<br><br>☆ぽよぺっぷ！HP<br><a href=""/jump.php?https%3A%2F%2Fpoyopep.com"" target=""_blank"">https://poyopep.com</a>",Illustration,1,455,No,356,8071,1,2894,4093,AllAges,Unknown,2022-07-19T13:50:00+00:00,https://i.pximg.net/img-original/img/2022/07/19/22/50/23/99848126_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/07/19/22/50/23/99848126_p0_square1200.jpg,ぺぽよ/Illustration/99848126_p0.png
99795121,"ぺぽよ,ぽよろいど,ぽよぺっぷ!,TDM","ぺぽよ,ぽよろいど,ぽよぺっぷ!,TDM",ぺぽよ,6592374,【オリジナル曲】IPPUN_GPに出すはずだった曲,"YouTube <a href=""/jump.php?https%3A%2F%2Fyoutu.be%2Fi18W1SyOHAM"" target=""_blank"">https://youtu.be/i18W1SyOHAM</a><br><br>ニコニコ　<a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm40782027"" target=""_blank"">https://www.nicovideo.jp/watch/sm40782027</a><br><br>＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝<br>☆ぺぽよTwitter <br><strong><a href=""https://twitter.com/pepoyoPPY"" target=""_blank"">twitter/pepoyoPPY</a></strong><br><br>☆ぽよぺっぷ！HP<br><a href=""/jump.php?https%3A%2F%2Fpoyopep.com"" target=""_blank"">https://poyopep.com</a><br><br>☆YouTube<br><a href=""/jump.php?https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCj8niwjSPcK558OqNisRKFg"" target=""_blank"">https://www.youtube.com/channel/UCj8niwjSPcK558OqNisRKFg</a><br><br>☆ニコニコ動画<br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fuser%2F55950290"" target=""_blank"">https://www.nicovideo.jp/user/55950290</a><br><br>☆TikTok<br><a href=""/jump.php?https%3A%2F%2Fwww.tiktok.com%2F%40pepoyoppy%3F"" target=""_blank"">https://www.tiktok.com/@pepoyoppy?</a><br><br>☆その他リンクまとめ<br><a href=""/jump.php?https%3A%2F%2Flit.link%2Fpepoyo"" target=""_blank"">https://lit.link/pepoyo</a><br><br>☆お仕事のご連絡など<br>pepoyoppy@gmail.com",Illustration,1,641,No,478,8632,4,1280,720,AllAges,Unknown,2022-07-17T12:08:00+00:00,https://i.pximg.net/img-original/img/2022/07/17/21/08/19/99795121_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/07/17/21/08/19/99795121_p0_square1200.jpg,ぺぽよ/Illustration/99795121_p0.png
98743840,"ぽよぺっぷ!,オリジナル,TDM,ぽよろいど,創作,オリキャラ,人外","ぽよぺっぷ!,原创,TDM,ぽよろいど,原创角色,非人类",ぺぽよ,6592374,通販のお知らせ,"前回けもケットで出した新作グッズのページができましたのでお知らせします<br>倉庫からの発送になるので、入荷されたタイミングで販売開始となります。メール通知をONにすると通知が来ます<br>ついでにリョナ本の冊子版も入荷してます。<br><br>現在の注文分の発送は6月前半に終了予定です。<br>お待たせしてしまいすみません、もう少しお待ち下さい🙇<br><br><a href=""https://pepoyo.booth.pm"" target=""_blank"">https://pepoyo.booth.pm</a>",Illustration,8,652,No,492,14222,2,2000,2000,AllAges,Unknown,2022-05-31T15:27:00+00:00,https://i.pximg.net/img-original/img/2022/06/01/00/27/44/98743840_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/06/01/00/27/44/98743840_p0_square1200.jpg,ぺぽよ/Illustration/98743840/98743840_p0.jpg
98743664,オリジナル,原创,ぺぽよ,6592374,あめだま　うたってみた,"投稿しました。　ちょっと変わったりしてます<br><br>YouTube <a href=""/jump.php?https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DCqDztE8JewI"" target=""_blank"">https://www.youtube.com/watch?v=CqDztE8JewI</a><br>ニコニコ　<a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm40545420"" target=""_blank"">https://www.nicovideo.jp/watch/sm40545420</a><br><br>＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝<br>☆ぺぽよTwitter <br><strong><a href=""https://twitter.com/pepoyoPPY"" target=""_blank"">twitter/pepoyoPPY</a></strong><br><br>☆ぽよぺっぷ！HP<br><a href=""/jump.php?https%3A%2F%2Fpoyopep.com"" target=""_blank"">https://poyopep.com</a><br><br>☆YouTube<br><a href=""/jump.php?https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCj8niwjSPcK558OqNisRKFg"" target=""_blank"">https://www.youtube.com/channel/UCj8niwjSPcK558OqNisRKFg</a><br><br>☆ニコニコ動画<br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fuser%2F55950290"" target=""_blank"">https://www.nicovideo.jp/user/55950290</a><br><br>☆TikTok<br><a href=""/jump.php?https%3A%2F%2Fwww.tiktok.com%2F%40pepoyoppy%3F"" target=""_blank"">https://www.tiktok.com/@pepoyoppy?</a><br><br>☆その他リンクまとめ<br><a href=""/jump.php?https%3A%2F%2Flit.link%2Fpepoyo"" target=""_blank"">https://lit.link/pepoyo</a><br><br>☆お仕事のご連絡など<br>pepoyoppy@gmail.com",Illustration,2,754,No,560,11468,1,1280,720,AllAges,Unknown,2022-05-31T15:21:00+00:00,https://i.pximg.net/img-original/img/2022/06/01/00/21/49/98743664_p0.png,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/06/01/00/21/49/98743664_p0_square1200.jpg,ぺぽよ/Illustration/98743664/98743664_p0.png
98468019,"オリジナル,VOCALOIDオリジナル曲","原创,VOCALOIDオリジナル曲",ぺぽよ,6592374,いみごのたまご,"<a href=""/jump.php?https%3A%2F%2Fyoutu.be%2FbuZVYkIt2TQ"" target=""_blank"">https://youtu.be/buZVYkIt2TQ</a><br><br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fwatch%2Fsm40358423"" target=""_blank"">https://www.nicovideo.jp/watch/sm40358423</a><br><br>曲投稿しました<br>2枚目はたまごちゃん色紙<br><br>＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝<br>☆ぺぽよTwitter <br><strong><a href=""https://twitter.com/pepoyoPPY"" target=""_blank"">twitter/pepoyoPPY</a></strong><br><br>☆ぽよぺっぷ！HP<br><a href=""/jump.php?https%3A%2F%2Fpoyopep.com"" target=""_blank"">https://poyopep.com</a><br><br>☆YouTube<br><a href=""/jump.php?https%3A%2F%2Fwww.youtube.com%2Fchannel%2FUCj8niwjSPcK558OqNisRKFg"" target=""_blank"">https://www.youtube.com/channel/UCj8niwjSPcK558OqNisRKFg</a><br><br>☆ニコニコ動画<br><a href=""/jump.php?https%3A%2F%2Fwww.nicovideo.jp%2Fuser%2F55950290"" target=""_blank"">https://www.nicovideo.jp/user/55950290</a><br><br>☆TikTok<br><a href=""/jump.php?https%3A%2F%2Fwww.tiktok.com%2F%40pepoyoppy%3F"" target=""_blank"">https://www.tiktok.com/@pepoyoppy?</a><br><br>☆その他リンクまとめ<br><a href=""/jump.php?https%3A%2F%2Flit.link%2Fpepoyo"" target=""_blank"">https://lit.link/pepoyo</a><br><br>☆絵、動画、曲依頼など<br>pepoyoppy@gmail.com",Illustration,2,864,No,634,12766,7,1280,720,AllAges,Unknown,2022-05-20T01:10:00+00:00,https://i.pximg.net/img-original/img/2022/05/20/10/10/20/98468019_p0.jpg,https://i.pximg.net/c/250x250_80_a2/img-master/img/2022/05/20/10/10/20/98468019_p0_square1200.jpg,ぺぽよ/Illustration/98468019/98468019_p0.jpg
